method,missing_mode,missing_rate,repeat,rmse
20_迭代插补_随机树,MCAR,0.4,2,0.46039835312383387
01_均值填充,MCAR,0.4,3,0.47674462835349213
02_中位数填充,MCAR,0.4,3,0.47493149301763815
03_KNN填充_k3,MCAR,0.4,3,0.5059448565695545
04_KNN填充_k5,MCAR,0.4,3,0.46886139246217556
05_线性回归,MCAR,0.4,3,0.44462030242069134
06_岭回归,MCAR,0.4,3,0.445237631518262
07_Lasso,MCAR,0.4,3,0.4692193191315854
08_ElasticNet,MCAR,0.4,3,0.4537377710213175
09_贝叶斯岭回归,MCAR,0.4,3,0.4588515067646774
10_决策树,MCAR,0.4,3,0.4522257580382938
11_随机森林,MCAR,0.4,3,0.43178067896723593
12_极端随机树,MCAR,0.4,3,0.4307235672527083
13_GradientBoosting,MCAR,0.4,3,0.48321141791303873
14_AdaBoost,MCAR,0.4,3,0.42229798506716754
15_SVR_rbf,MCAR,0.4,3,0.41982201583108497
16_KNN回归_k3,MCAR,0.4,3,0.5456009467955445
17_KNN回归_k5,MCAR,0.4,3,0.4570075809711485
18_MLP神经网络,MCAR,0.4,3,0.41774079514587115
19_迭代插补_贝叶斯,MCAR,0.4,3,0.44791045514265304
20_迭代插补_随机树,MCAR,0.4,3,0.45343008045475286
01_均值填充,MCAR,0.4,4,0.5157805836906187
02_中位数填充,MCAR,0.4,4,0.5149665606592153
03_KNN填充_k3,MCAR,0.4,4,0.41676896636143174
04_KNN填充_k5,MCAR,0.4,4,0.4058881801866123
05_线性回归,MCAR,0.4,4,0.48230277638098007
06_岭回归,MCAR,0.4,4,0.48242972576366916
07_Lasso,MCAR,0.4,4,0.50782783057471
08_ElasticNet,MCAR,0.4,4,0.4921453850445146
09_贝叶斯岭回归,MCAR,0.4,4,0.49273860616764475
10_决策树,MCAR,0.4,4,0.42054191186857054
11_随机森林,MCAR,0.4,4,0.4127562178451418
12_极端随机树,MCAR,0.4,4,0.4022504732406769
13_GradientBoosting,MCAR,0.4,4,0.41543141732816596
14_AdaBoost,MCAR,0.4,4,0.4254679348980481
15_SVR_rbf,MCAR,0.4,4,0.4436009242856014
16_KNN回归_k3,MCAR,0.4,4,0.42756309646040547
17_KNN回归_k5,MCAR,0.4,4,0.41965420427444483
18_MLP神经网络,MCAR,0.4,4,0.4644301856639713
19_迭代插补_贝叶斯,MCAR,0.4,4,0.5078201410908301
20_迭代插补_随机树,MCAR,0.4,4,0.4015552155058597
01_均值填充,MCAR,0.4,5,0.5092270750528657
02_中位数填充,MCAR,0.4,5,0.5066378768060394
03_KNN填充_k3,MCAR,0.4,5,0.5168495385194826
04_KNN填充_k5,MCAR,0.4,5,0.515680240328635
05_线性回归,MCAR,0.4,5,0.47760263725041313
06_岭回归,MCAR,0.4,5,0.4779143570763807
07_Lasso,MCAR,0.4,5,0.5033519665077322
08_ElasticNet,MCAR,0.4,5,0.4893107884899028
09_贝叶斯岭回归,MCAR,0.4,5,0.49073034034791246
10_决策树,MCAR,0.4,5,0.479216097874173
11_随机森林,MCAR,0.4,5,0.44861089847404134
12_极端随机树,MCAR,0.4,5,0.484695019542771
13_GradientBoosting,MCAR,0.4,5,0.44561934437739237
14_AdaBoost,MCAR,0.4,5,0.5240577370223396
15_SVR_rbf,MCAR,0.4,5,0.5290852973079277
16_KNN回归_k3,MCAR,0.4,5,0.5104678897374372
17_KNN回归_k5,MCAR,0.4,5,0.48558117898884184
18_MLP神经网络,MCAR,0.4,5,0.5130345563052567
19_迭代插补_贝叶斯,MCAR,0.4,5,0.48508083046027284
20_迭代插补_随机树,MCAR,0.4,5,0.4812578273661531
01_均值填充,MCAR,0.5,1,0.5120543642285171
02_中位数填充,MCAR,0.5,1,0.5137546298975749
03_KNN填充_k3,MCAR,0.5,1,0.5091959971037882
04_KNN填充_k5,MCAR,0.5,1,0.4866751081822504
05_线性回归,MCAR,0.5,1,0.48710208553143486
06_岭回归,MCAR,0.5,1,0.4874274528855606
07_Lasso,MCAR,0.5,1,0.5019400953697827
08_ElasticNet,MCAR,0.5,1,0.4911065175721985
09_贝叶斯岭回归,MCAR,0.5,1,0.49499027857820843
10_决策树,MCAR,0.5,1,0.4468823810765468
11_随机森林,MCAR,0.5,1,0.4374774864722257
12_极端随机树,MCAR,0.5,1,0.4843114295710576
13_GradientBoosting,MCAR,0.5,1,0.4468294173238727
14_AdaBoost,MCAR,0.5,1,0.42979211663246136
15_SVR_rbf,MCAR,0.5,1,0.4922438465650082
16_KNN回归_k3,MCAR,0.5,1,0.4836205358887776
17_KNN回归_k5,MCAR,0.5,1,0.4821001289051646
18_MLP神经网络,MCAR,0.5,1,0.4873181909354014
19_迭代插补_贝叶斯,MCAR,0.5,1,0.5050910439254235
20_迭代插补_随机树,MCAR,0.5,1,0.4650255070119029
01_均值填充,MCAR,0.5,2,0.4770026999417072
02_中位数填充,MCAR,0.5,2,0.47818987917042827
03_KNN填充_k3,MCAR,0.5,2,0.514495605430611
04_KNN填充_k5,MCAR,0.5,2,0.4776223949265957
05_线性回归,MCAR,0.5,2,0.4441725211012572
06_岭回归,MCAR,0.5,2,0.44472800026931264
07_Lasso,MCAR,0.5,2,0.47020808797693925
08_ElasticNet,MCAR,0.5,2,0.4567611742351893
09_贝叶斯岭回归,MCAR,0.5,2,0.46331282417452724
10_决策树,MCAR,0.5,2,0.42937628015648943
11_随机森林,MCAR,0.5,2,0.4217228206827992
12_极端随机树,MCAR,0.5,2,0.46420170248319464
13_GradientBoosting,MCAR,0.5,2,0.44598540416643817
14_AdaBoost,MCAR,0.5,2,0.41785289462317265
15_SVR_rbf,MCAR,0.5,2,0.48749582526700397
16_KNN回归_k3,MCAR,0.5,2,0.5444147810932178
17_KNN回归_k5,MCAR,0.5,2,0.4227654460737908
18_MLP神经网络,MCAR,0.5,2,0.4472288310443857
19_迭代插补_贝叶斯,MCAR,0.5,2,0.45369430536756317
20_迭代插补_随机树,MCAR,0.5,2,0.4780627104228582
01_均值填充,MCAR,0.5,3,0.4683562219451655
02_中位数填充,MCAR,0.5,3,0.46971854356352255
03_KNN填充_k3,MCAR,0.5,3,0.48552341561044965
04_KNN填充_k5,MCAR,0.5,3,0.45907981066334935
05_线性回归,MCAR,0.5,3,0.4374528654390253
06_岭回归,MCAR,0.5,3,0.43804325455567966
07_Lasso,MCAR,0.5,3,0.45814500733094127
08_ElasticNet,MCAR,0.5,3,0.44489568852282874
09_贝叶斯岭回归,MCAR,0.5,3,0.4509586352118207
10_决策树,MCAR,0.5,3,0.41508745233647115
11_随机森林,MCAR,0.5,3,0.41313841155703523
12_极端随机树,MCAR,0.5,3,0.4470701789003358
13_GradientBoosting,MCAR,0.5,3,0.4639339362542722
14_AdaBoost,MCAR,0.5,3,0.4099260665251164
15_SVR_rbf,MCAR,0.5,3,0.40750614893274095
16_KNN回归_k3,MCAR,0.5,3,0.40118507774831297
17_KNN回归_k5,MCAR,0.5,3,0.3958144154129856
18_MLP神经网络,MCAR,0.5,3,0.40516053092504434
19_迭代插补_贝叶斯,MCAR,0.5,3,0.43831519709560374
20_迭代插补_随机树,MCAR,0.5,3,0.4674178737537848
01_均值填充,MCAR,0.5,4,0.4937490867068072
02_中位数填充,MCAR,0.5,4,0.49166533021499065
03_KNN填充_k3,MCAR,0.5,4,0.4097628941061562
04_KNN填充_k5,MCAR,0.5,4,0.4109791401649627
05_线性回归,MCAR,0.5,4,0.4626345172883615
06_岭回归,MCAR,0.5,4,0.4629561620613664
07_Lasso,MCAR,0.5,4,0.4869649027226736
08_ElasticNet,MCAR,0.5,4,0.4730211395670931
09_贝叶斯岭回归,MCAR,0.5,4,0.47830197465312396
10_决策树,MCAR,0.5,4,0.4278202308372407
11_随机森林,MCAR,0.5,4,0.4189733004029553
12_极端随机树,MCAR,0.5,4,0.39121240535136814
13_GradientBoosting,MCAR,0.5,4,0.4305958419576657
